CONGLOME,VIVIENDA,HOGAR,UBIGEO,P101,P102,P1172.02,P207,P208A,P301A,MIEPERHO,Pobre_energético,ESTRATO,ingreso_pc_mensual,inseguridad_alimentaria,sexo_mujer,educacion_basica_completa,material_pared,estrato3,ingreso_pc_z,gasto_elec_z
18613,20,22,160101,8,9,56,2,32,6,3,1,2,339.6346028645833,1,1,1,Precario,Urbano,-0.5780893850858053,0.2597095557574278
18613,53,11,160101,1,1,98,1,28,11,2,1,2,3054.7236328125,0,0,1,Duradero,Urbano,2.084951822898708,1.0113042433568022
18613,69,12,160101,1,1,55,1,46,8,4,1,2,1914.1402994791667,1,0,1,Duradero,Urbano,0.9662332894349017,0.2418144441479189
18613,69,22,160101,8,9,24,2,19,6,1,1,2,1289.0550944010417,1,1,1,Precario,Urbano,0.3531308676493332,-0.31293401574685753
18613,86,11,160101,1,1,33,1,63,9,3,1,2,1600.5239800347224,1,0,1,Duradero,Urbano,0.658628944617888,-0.15187801126127728
18651,101,11,160101,1,1,103,1,39,6,4,1,2,757.217041015625,1,0,1,Duradero,Urbano,-0.16851193541072015,1.1007798014043468
18651,146,11,160101,1,1,0,1,67,11,4,0,2,546.676025390625,1,0,1,Duradero,Urbano,-0.3750169134780662,-0.7424166943750715
18576,57,11,160101,1,1,176,2,65,10,3,1,2,2506.099826388889,0,1,1,Duradero,Urbano,1.5468450469984645,2.4071229488984978
18576,99,11,160101,1,1,37,1,70,6,8,1,2,398.8213297526042,1,0,1,Duradero,Urbano,-0.5200372582752351,-0.08029756482324162
18576,179,11,160101,1,1,70,1,66,5,6,1,2,367.22943793402777,1,0,0,Duradero,Urbano,-0.5510235385861505,0.5102411182905526
18576,200,12,160101,1,9,60,1,73,5,4,1,2,839.35009765625,1,0,0,Precario,Urbano,-0.08795335631473146,0.3312900021954635
18576,200,22,160101,8,9,20,1,42,5,4,1,2,379.8140462239583,1,0,0,Precario,Urbano,-0.5386801752220876,-0.3845144621848932
18576,218,11,160101,1,1,94,2,40,10,3,1,2,908.5058051215278,1,1,1,Duradero,Urbano,-0.020123352688334747,0.9397237969187666
18576,15,11,160101,1,1,195,2,53,10,2,1,2,1826.0831705729167,0,1,1,Duradero,Urbano,0.8798642015900562,2.747130069479167
18576,37,11,160101,1,1,102,2,55,10,6,1,2,1096.7667100694446,1,1,1,Duradero,Urbano,0.16452862085611114,1.082884689794838
18566,98,11,160101,1,8,157,1,78,8,10,1,2,455.3208658854167,1,0,1,Precario,Urbano,-0.46462080920336946,2.0671158283178284
18604,13,11,160101,1,1,146,1,38,8,4,0,2,2059,0,0,1,Duradero,Urbano,1.1083160526917202,1.8702696006132304
18604,37,11,160101,1,1,75,1,84,6,3,0,2,1099.850802951389,0,0,1,Duradero,Urbano,0.16755359217133428,0.5997166763380972
18636,10,11,160101,1,1,51,1,33,8,3,0,2,635.3468424479166,1,0,1,Duradero,Urbano,-0.2880459017857706,0.17023399770988323
18581,144,11,160101,1,2,0,1,68,11,5,0,2,1742.9158854166667,0,0,1,Duradero,Urbano,0.7982912199734861,-0.7424166943750715
18766,37,11,160102,1,7,0,1,35,4,4,1,7,342.9583333333333,0,0,0,Precario,Rural,-0.5748293699979448,-0.7424166943750715
18766,38,11,160102,1,7,33,1,64,6,9,1,7,176.6435546875,1,0,1,Precario,Rural,-0.7379559209674992,-0.15187801126127728
